LocationAbbr,Year
US,2006
US,2004
NY,2005
CT,2008
ME,2008
OH,2010
OH,2012
CT,2013
ME,2005
WA,2005
DE,2004
TN,2006
NH,2007
HI,2006
MD,2007
GA,2007
OR,2005
AL,2008
UT,2006
ND,2007
MS,2008
AL,2007
KY,2005
FL,2006
DE,2007
SC,2004
WV,2006
IA,2004
VA,2007
NV,2006
...,...
NH,2013
ME,2011
OH,2010
MD,2013
MI,2012
VT,2011
MA,2011
ID,2013
NJ,2011
US,2013
TX,2011
ND,2011
IL,2011
NV,2012
SC,2012
KS,2013
OH,2010
MS,2011
LA,2013
IN,2011
FL,2011
MO,2012
US,2010
OR,2011
OK,2010
CO,2012
MI,2010
ME,2012
ID,2013
IA,2012

[42640 rows x 1 columns]
